province,crop_name,year,month,harvest_quantity,sold_quantity,average_price
An Giang,Bưởi,2025,7,0.0,0.0,0.0
An Giang,Bưởi,2025,8,0.0,0.0,0.0
An Giang,Bưởi,2025,9,1423.78,0.0,31199.67
An Giang,Bưởi,2025,10,0.0,187.89000000000001,31199.66999999999
An Giang,Bưởi,2025,11,0.0,0.0,0.0
An Giang,Bưởi,2025,12,0.0,0.0,0.0
An Giang,Bưởi,2026,1,0.0,0.0,0.0
An Giang,Bưởi,2026,2,0.0,0.0,0.0
An Giang,Bưởi,2026,3,0.0,0.0,0.0
An Giang,Bưởi,2026,4,0.0,0.0,0.0
An Giang,Bưởi,2026,5,0.0,0.0,0.0
An Giang,Bưởi,2026,6,1488.81,156.2,27079.660000000003
An Giang,Bưởi,2026,7,0.0,104.44,27079.660000000003
An Giang,Chôm chôm,2025,7,0.0,0.0,0.0
An Giang,Chôm chôm,2025,8,0.0,0.0,0.0
An Giang,Chôm chôm,2025,9,0.0,0.0,0.0
An Giang,Chôm chôm,2025,10,0.0,0.0,0.0
An Giang,Chôm chôm,2025,11,0.0,0.0,0.0
An Giang,Chôm chôm,2025,12,0.0,0.0,0.0
An Giang,Chôm chôm,2026,1,0.0,0.0,0.0
An Giang,Chôm chôm,2026,2,0.0,0.0,0.0
An Giang,Chôm chôm,2026,3,0.0,0.0,0.0
An Giang,Chôm chôm,2026,4,0.0,0.0,0.0
An Giang,Chôm chôm,2026,5,0.0,0.0,0.0
An Giang,Chôm chôm,2026,6,0.0,0.0,0.0
An Giang,Chôm chôm,2026,7,0.0,0.0,0.0
An Giang,Dứa,2025,7,13940.85,1147.45,10877.819121443199
An Giang,Dứa,2025,8,28962.54,1192.26,9300.846447586935
An Giang,Dứa,2025,9,5949.69,732.02,10026.956752820963
An Giang,Dứa,2025,10,51323.94,3486.04,9507.748458766968
An Giang,Dứa,2025,11,44567.380000000005,5104.8,9303.183459234446
An Giang,Dứa,2025,12,41569.03,4750.04,8256.295626815774
An Giang,Dứa,2026,1,50170.11,5657.2699999999995,10315.051718956316
An Giang,Dứa,2026,2,59110.74,3572.77,10588.539460390677
An Giang,Dứa,2026,3,43078.1,4639.65,8800.000651083596
An Giang,Dứa,2026,4,30230.83,1476.84,8418.763433005608
An Giang,Dứa,2026,5,98410.05,6165.41,8406.117946965409
An Giang,Dứa,2026,6,100339.8,6109.79,8980.662804007992
An Giang,Dứa,2026,7,0.0,1308.38,8043.753022516395
An Giang,Mít,2025,7,9284.75,1788.74,8423.48
An Giang,Mít,2025,8,0.0,0.0,0.0
An Giang,Mít,2025,9,0.0,0.0,0.0
An Giang,Mít,2025,10,10659.48,1217.44,11268.87
An Giang,Mít,2025,11,10688.14,102.16,12494.01
An Giang,Mít,2025,12,0.0,255.75,12494.01
An Giang,Mít,2026,1,2295.38,17.86,13909.68
An Giang,Mít,2026,2,0.0,0.0,0.0
An Giang,Mít,2026,3,8735.53,0.0,13010.58
An Giang,Mít,2026,4,16653.67,1725.51,11450.486226333085
An Giang,Mít,2026,5,53452.119999999995,2504.0,10257.070966134186
An Giang,Mít,2026,6,0.0,1194.3999999999999,10014.138871818488
An Giang,Mít,2026,7,0.0,0.0,0.0
An Giang,Nho,2025,7,0.0,0.0,0.0
An Giang,Nho,2025,8,0.0,0.0,0.0
An Giang,Nho,2025,9,0.0,0.0,0.0
An Giang,Nho,2025,10,0.0,0.0,0.0
An Giang,Nho,2025,11,0.0,0.0,0.0
An Giang,Nho,2025,12,0.0,0.0,0.0
An Giang,Nho,2026,1,0.0,0.0,0.0
An Giang,Nho,2026,2,0.0,0.0,0.0
An Giang,Nho,2026,3,0.0,0.0,0.0
An Giang,Nho,2026,4,0.0,0.0,0.0
An Giang,Nho,2026,5,0.0,0.0,0.0
An Giang,Nho,2026,6,0.0,0.0,0.0
An Giang,Nho,2026,7,0.0,0.0,0.0
An Giang,Rau cải,2025,7,2504.43,511.90000000000003,13641.7
An Giang,Rau cải,2025,8,3735.7799999999997,253.35,14634.563992895206
An Giang,Rau cải,2025,9,21204.22,1145.8700000000001,12769.153257699389
An Giang,Rau cải,2025,10,19948.34,1970.27,14260.116145705917
An Giang,Rau cải,2025,11,12458.09,1540.96,11001.878115265807
An Giang,Rau cải,2025,12,13209.93,1588.95,13988.487872053873
An Giang,Rau cải,2026,1,17467.87,2075.24,12987.799776459591
An Giang,Rau cải,2026,2,13214.029999999999,3740.65,13605.616405143492
An Giang,Rau cải,2026,3,11874.54,1679.6599999999999,12318.47884970768
An Giang,Rau cải,2026,4,3250.33,236.85,15332.869999999999
An Giang,Rau cải,2026,5,20701.04,588.96,12041.403667481662
An Giang,Rau cải,2026,6,2002.83,295.71000000000004,13345.469999999998
An Giang,Rau cải,2026,7,6827.21,623.4,12905.488955405839
An Giang,Sầu riêng,2025,7,0.0,0.0,0.0
An Giang,Sầu riêng,2025,8,0.0,0.0,0.0
An Giang,Sầu riêng,2025,9,0.0,0.0,0.0
An Giang,Sầu riêng,2025,10,0.0,0.0,0.0
An Giang,Sầu riêng,2025,11,0.0,0.0,0.0
An Giang,Sầu riêng,2025,12,0.0,0.0,0.0
An Giang,Sầu riêng,2026,1,0.0,0.0,0.0
An Giang,Sầu riêng,2026,2,0.0,0.0,0.0
An Giang,Sầu riêng,2026,3,0.0,0.0,0.0
An Giang,Sầu riêng,2026,4,3425.64,977.8100000000001,73483.68
An Giang,Sầu riêng,2026,5,0.0,0.0,0.0
An Giang,Sầu riêng,2026,6,0.0,0.0,0.0
An Giang,Sầu riêng,2026,7,0.0,0.0,0.0
An Giang,Thanh long,2025,7,0.0,0.0,0.0
An Giang,Thanh long,2025,8,0.0,0.0,0.0
An Giang,Thanh long,2025,9,0.0,0.0,0.0
An Giang,Thanh long,2025,10,0.0,0.0,0.0
An Giang,Thanh long,2025,11,0.0,0.0,0.0
An Giang,Thanh long,2025,12,0.0,0.0,0.0
An Giang,Thanh long,2026,1,0.0,0.0,0.0
An Giang,Thanh long,2026,2,0.0,0.0,0.0
An Giang,Thanh long,2026,3,0.0,0.0,0.0
An Giang,Thanh long,2026,4,0.0,0.0,0.0
An Giang,Thanh long,2026,5,0.0,0.0,0.0
An Giang,Thanh long,2026,6,0.0,0.0,0.0
An Giang,Thanh long,2026,7,0.0,0.0,0.0
An Giang,Xoài,2025,7,0.0,0.0,0.0
An Giang,Xoài,2025,8,0.0,0.0,0.0
An Giang,Xoài,2025,9,4346.85,90.32,27382.41
An Giang,Xoài,2025,10,5350.38,76.26,23166.88
An Giang,Xoài,2025,11,2216.25,1310.32,23334.855827049883
An Giang,Xoài,2025,12,0.0,253.37,24479.59
An Giang,Xoài,2026,1,0.0,0.0,0.0
An Giang,Xoài,2026,2,4820.2,469.9,19429.86
An Giang,Xoài,2026,3,0.0,0.0,0.0
An Giang,Xoài,2026,4,0.0,0.0,0.0
An Giang,Xoài,2026,5,0.0,0.0,0.0
An Giang,Xoài,2026,6,16176.09,807.01,21381.78891971599
An Giang,Xoài,2026,7,0.0,573.5,21760.05
An Giang,Ổi,2025,7,55655.68,10902.67,14604.86906067963
An Giang,Ổi,2025,8,38331.74,3288.99,13494.447514130477
An Giang,Ổi,2025,9,0.0,71.73,15151.68
An Giang,Ổi,2025,10,16192.3,1647.81,15581.002824597495
An Giang,Ổi,2025,11,8799.7,403.04,16037.81
An Giang,Ổi,2025,12,15217.19,1303.07,14569.325336014183
An Giang,Ổi,2026,1,7071.96,814.72,16155.46
An Giang,Ổi,2026,2,2864.15,292.45,13168.830000000002
An Giang,Ổi,2026,3,6962.96,11.87,17973.37
An Giang,Ổi,2026,4,0.0,284.24,16177.34
An Giang,Ổi,2026,5,0.0,0.0,0.0
An Giang,Ổi,2026,6,24051.510000000002,1369.06,13669.90446262399
An Giang,Ổi,2026,7,0.0,0.0,0.0
Bình Thuận,Bưởi,2025,7,0.0,0.0,0.0
Bình Thuận,Bưởi,2025,8,0.0,0.0,0.0
Bình Thuận,Bưởi,2025,9,0.0,0.0,0.0
Bình Thuận,Bưởi,2025,10,0.0,0.0,0.0
Bình Thuận,Bưởi,2025,11,0.0,0.0,0.0
Bình Thuận,Bưởi,2025,12,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,1,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,2,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,3,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,4,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,5,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,6,0.0,0.0,0.0
Bình Thuận,Bưởi,2026,7,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2025,7,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2025,8,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2025,9,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2025,10,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2025,11,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2025,12,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,1,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,2,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,3,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,4,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,5,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,6,0.0,0.0,0.0
Bình Thuận,Chôm chôm,2026,7,0.0,0.0,0.0
Bình Thuận,Dứa,2025,7,0.0,0.0,0.0
Bình Thuận,Dứa,2025,8,0.0,0.0,0.0
Bình Thuận,Dứa,2025,9,0.0,0.0,0.0
Bình Thuận,Dứa,2025,10,0.0,0.0,0.0
Bình Thuận,Dứa,2025,11,0.0,0.0,0.0
Bình Thuận,Dứa,2025,12,0.0,0.0,0.0
Bình Thuận,Dứa,2026,1,0.0,0.0,0.0
