province,crop_name,year,month,sold_quantity,average_price,predicted_quantity,model_name
An Giang,Bưởi,2025,7,0.0,0.0,-12.39,GradientBoostingRegressor
An Giang,Bưởi,2025,8,0.0,0.0,-12.39,GradientBoostingRegressor
An Giang,Bưởi,2025,9,0.0,31199.67,1578.08,GradientBoostingRegressor
An Giang,Bưởi,2025,10,187.89,31199.66999999999,1289.66,GradientBoostingRegressor
An Giang,Bưởi,2025,11,0.0,0.0,-70.9,GradientBoostingRegressor
An Giang,Bưởi,2025,12,0.0,0.0,-70.9,GradientBoostingRegressor
An Giang,Bưởi,2026,1,0.0,0.0,-52.36,GradientBoostingRegressor
An Giang,Bưởi,2026,2,0.0,0.0,-52.36,GradientBoostingRegressor
An Giang,Bưởi,2026,3,0.0,0.0,32.02,GradientBoostingRegressor
An Giang,Bưởi,2026,4,0.0,0.0,30.99,GradientBoostingRegressor
An Giang,Bưởi,2026,5,0.0,0.0,30.99,GradientBoostingRegressor
An Giang,Bưởi,2026,6,156.2,27079.660000000003,2763.2,GradientBoostingRegressor
An Giang,Bưởi,2026,7,104.44,27079.660000000003,2290.4,GradientBoostingRegressor
An Giang,Chôm Chôm,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Chôm Chôm,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Chôm Chôm,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
An Giang,Chôm Chôm,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Chôm Chôm,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Chôm Chôm,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Chôm Chôm,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Dứa,2025,7,1147.45,10877.8191214432,12875.02,GradientBoostingRegressor
An Giang,Dứa,2025,8,1192.26,9300.846447586937,12875.02,GradientBoostingRegressor
An Giang,Dứa,2025,9,732.02,10026.956752820965,7872.82,GradientBoostingRegressor
An Giang,Dứa,2025,10,3486.04,9507.748458766968,27378.93,GradientBoostingRegressor
An Giang,Dứa,2025,11,5104.8,9303.183459234446,47126.65,GradientBoostingRegressor
An Giang,Dứa,2025,12,4750.04,8256.295626815774,54487.32,GradientBoostingRegressor
An Giang,Dứa,2026,1,5657.27,10315.051718956316,54867.86,GradientBoostingRegressor
An Giang,Dứa,2026,2,3572.77,10588.539460390675,28433.49,GradientBoostingRegressor
An Giang,Dứa,2026,3,4639.65,8800.000651083596,44805.46,GradientBoostingRegressor
An Giang,Dứa,2026,4,1476.84,8418.763433005608,18500.2,GradientBoostingRegressor
An Giang,Dứa,2026,5,6165.41,8406.117946965409,91068.35,GradientBoostingRegressor
An Giang,Dứa,2026,6,6109.79,8980.662804007992,90271.5,GradientBoostingRegressor
An Giang,Dứa,2026,7,1308.38,8043.753022516395,12287.62,GradientBoostingRegressor
An Giang,Mít,2025,7,1788.74,8423.48,19896.7,GradientBoostingRegressor
An Giang,Mít,2025,8,0.0,0.0,50.63,GradientBoostingRegressor
An Giang,Mít,2025,9,0.0,0.0,-13.96,GradientBoostingRegressor
An Giang,Mít,2025,10,1217.44,11268.87,14622.89,GradientBoostingRegressor
An Giang,Mít,2025,11,102.16,12494.01,2866.06,GradientBoostingRegressor
An Giang,Mít,2025,12,255.75,12494.01,2595.92,GradientBoostingRegressor
An Giang,Mít,2026,1,17.86,13909.68,3635.79,GradientBoostingRegressor
An Giang,Mít,2026,2,0.0,0.0,9.63,GradientBoostingRegressor
An Giang,Mít,2026,3,0.0,13010.58,3720.17,GradientBoostingRegressor
An Giang,Mít,2026,4,1725.51,11450.486226333083,24337.76,GradientBoostingRegressor
An Giang,Mít,2026,5,2504.0,10257.070966134186,37602.42,GradientBoostingRegressor
An Giang,Mít,2026,6,1194.4,10014.138871818488,9219.92,GradientBoostingRegressor
An Giang,Mít,2026,7,0.0,0.0,50.63,GradientBoostingRegressor
An Giang,Nho,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Nho,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Nho,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
An Giang,Nho,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Nho,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Nho,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Nho,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Nho,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Nho,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
An Giang,Nho,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Nho,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Nho,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Nho,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Rau Cải,2025,7,511.9,13641.7,6161.64,GradientBoostingRegressor
An Giang,Rau Cải,2025,8,253.35,14634.563992895206,3794.84,GradientBoostingRegressor
An Giang,Rau Cải,2025,9,1145.87,12769.153257699389,11180.42,GradientBoostingRegressor
An Giang,Rau Cải,2025,10,1970.27,14260.116145705915,12891.9,GradientBoostingRegressor
An Giang,Rau Cải,2025,11,1540.96,11001.878115265808,11708.94,GradientBoostingRegressor
An Giang,Rau Cải,2025,12,1588.95,13988.487872053873,10464.92,GradientBoostingRegressor
An Giang,Rau Cải,2026,1,2075.24,12987.799776459591,15110.62,GradientBoostingRegressor
An Giang,Rau Cải,2026,2,3740.65,13605.616405143492,19829.78,GradientBoostingRegressor
An Giang,Rau Cải,2026,3,1679.66,12318.47884970768,15680.71,GradientBoostingRegressor
An Giang,Rau Cải,2026,4,236.85,15332.87,3838.22,GradientBoostingRegressor
An Giang,Rau Cải,2026,5,588.96,12041.403667481662,11103.82,GradientBoostingRegressor
An Giang,Rau Cải,2026,6,295.71000000000004,13345.469999999998,4490.08,GradientBoostingRegressor
An Giang,Rau Cải,2026,7,623.4,12905.48895540584,9037.08,GradientBoostingRegressor
An Giang,Sầu Riêng,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Sầu Riêng,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Sầu Riêng,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
An Giang,Sầu Riêng,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Sầu Riêng,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Sầu Riêng,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,4,977.81,73483.68,7341.14,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Sầu Riêng,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Thanh Long,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Thanh Long,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Thanh Long,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
An Giang,Thanh Long,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Thanh Long,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
An Giang,Thanh Long,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
